"VAD2-29_O_L_6";"VAD2-14_O_L_6";"VAD2-15_O_L_6";"VAD2-44_O_L_6";"VAD2-45_O_L_24";"VAD2-26_O_L_24";"VAD2-28_O_L_24";"VAD2-25_O_L_24";"VAD2-22_O_L_72";"VAD2-17_O_L_72";"VAD2-48_O_L_72";"VAD2-33_O_L_72";"VAD2-47_O_L_144";"VAD2-18_O_L_144";"VAD2-35_O_L_144";"VAD2-23_O_L_144";"MDV1-50_O_L_6";"MDV1-15_O_L_6";"MDV1-23_O_L_6";"MDV1-13_O_L_6";"MDV1-44_O_L_24";"MDV1-16_O_L_24";"MDV1-41_O_L_24";"MDV1-33_O_L_24";"MDV1-31_O_L_72";"MDV1-46_O_L_72";"MDV1-18_O_L_72";"MDV1-49_O_L_72";"MDV1-24_O_L_144";"MDV1-9_O_L_144";"MDV1-12_O_L_144";"MDV1-45_O_L_144";"MDV2.3-21_O_L_6";"MDV2.3-18_O_L_6";"MDV2.3-33_O_L_6";"MDV2.3-49_O_L_6";"MDV2.3-17_O_L_24";"MDV2.3-45_O_L_24";"MDV2.3-13_O_L_24";"MDV2.3-30_O_L_24";"MDV2.3-44_O_L_72";"MDV2.3-28_O_L_72";"MDV2.3-32_O_L_72";"MDV2.3-15_O_L_72";"MDV2.3-26_O_L_144";"MDV2.3-19_O_L_144";"MDV2.3-50_O_L_144";"MDV2.3-46_O_L_144"
"gene_14";1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;2
"gene_15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gene_16";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_17";0;0;1;2;4;1;0;2;4;4;0;0;1;4;2;0;0;3;0;0;1;2;3;0;0;1;0;5;0;0;1;5;5;0;0;2;0;1;1;0;0;0;1;2;1;1;1;3
"gene_18";1;2;0;0;2;0;0;2;0;0;0;0;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;2;0;0;0;1;0;0;0;0
"gene_19";0;0;1;2;0;0;0;2;0;0;1;1;5;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1
"gene_20";2;1;2;0;0;0;0;1;0;0;0;2;1;1;3;0;1;0;0;0;2;4;1;0;0;0;1;2;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;2;0;0;2;3
"gene_21";0;0;0;0;4;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
"gene_22";0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;1;2;0;2;2;0;0;0;0
"gene_23";0;1;0;0;1;0;1;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"gene_24";1;2;1;1;4;0;0;1;1;5;1;0;0;5;3;1;5;0;1;1;5;5;4;4;1;2;2;6;6;1;1;0;3;1;0;1;1;1;1;1;6;0;0;0;0;2;1;0
"gene_25";0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1
"gene_26";0;1;4;1;5;0;0;2;0;0;2;0;1;2;0;3;2;0;0;0;1;4;1;0;1;0;2;2;0;6;0;0;0;0;0;1;0;0;0;0;2;0;0;3;2;0;0;1
"gene_27";1;0;0;0;0;0;0;1;0;0;0;0;0;1;9;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0
"gene_28";0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0
"gene_29";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_30";1;0;0;0;5;0;0;3;0;1;0;0;0;0;1;0;0;0;0;2;1;1;1;1;0;0;2;0;0;3;0;0;0;1;0;1;0;1;2;0;8;0;0;0;1;0;0;0
"gene_31";0;0;0;4;5;0;4;3;2;2;1;1;4;2;0;0;1;0;0;3;0;2;1;2;5;1;4;3;4;11;2;4;6;0;0;2;0;6;4;0;7;2;0;1;2;2;4;2
"gene_32";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gene_33";0;0;2;0;2;0;0;1;0;1;2;0;0;1;0;0;0;0;0;0;2;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0
"gene_34";0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;4;0
"gene_35";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_36";0;1;0;0;3;0;1;1;0;0;0;0;1;0;0;0;0;1;0;6;1;1;2;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;1;1
"gene_37";1;2;2;0;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;4;0;0;1;0;3;0;0;3;0;0;2;0
"gene_38";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;1;1;1;0;2;0
"gene_39";1;0;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0
"gene_40";0;0;1;0;2;0;1;8;0;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0
"gene_41";2;0;0;0;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"gene_42";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4;2;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;2
"gene_43";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_44";0;0;0;2;1;0;1;1;1;1;1;0;0;2;0;0;1;0;0;0;3;5;1;0;0;0;2;2;0;2;1;0;0;0;1;2;0;0;1;0;0;0;0;1;3;0;1;0
"gene_45";0;0;1;0;1;0;0;1;1;1;2;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0
"gene_46";2;0;3;0;15;1;11;26;1;1;2;6;1;6;0;4;0;0;1;2;3;29;21;10;0;13;1;7;2;12;2;5;2;1;0;9;15;3;14;6;8;1;2;16;5;0;2;14
"gene_47";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gene_48";0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1
"gene_49";1;9;5;0;4;0;0;22;2;0;3;1;1;0;0;0;1;4;1;5;1;4;0;4;0;0;0;0;1;1;1;5;2;0;1;5;0;0;0;0;0;0;0;2;0;0;0;5
"gene_50";0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;2;2;2;2;0;0;1;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"gene_51";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gene_52";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0
"gene_53";0;0;2;0;0;0;0;3;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;1;0;0;0;1;1;0;0;2;0;0;2;0
"gene_54";3;8;3;3;16;1;0;8;0;4;5;3;1;2;1;1;1;0;0;3;0;2;1;2;3;0;1;2;4;8;0;2;4;0;2;3;0;1;7;1;5;0;0;5;2;0;10;0
"gene_55";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"gene_56";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_57";0;0;0;0;2;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
"gene_58";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gene_59";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gene_60";0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0
"gene_61";0;0;1;0;0;0;0;5;2;4;0;1;2;0;1;0;0;0;0;0;1;2;2;1;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;6;0;0;0;0;1;0;1
"gene_62";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_63";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_64";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_65";0;0;0;0;1;0;1;10;1;0;0;0;1;5;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"gene_66";0;1;0;0;1;0;1;1;1;4;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"gene_67";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_68";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_69";0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;2;0;0;0;1
"gene_70";0;0;0;0;5;0;0;3;0;0;2;0;0;1;1;1;1;0;0;2;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0
"gene_71";1;0;0;0;2;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"gene_72";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"gene_73";1;3;0;0;3;2;0;8;6;1;6;4;3;4;4;3;3;0;0;1;5;14;0;4;4;2;1;3;3;3;1;1;2;0;0;3;0;1;1;3;4;1;1;6;2;1;3;1
"gene_74";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
"gene_75";0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_76";0;1;2;0;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;1;3
"gene_77";1;1;0;0;0;0;1;2;1;0;0;1;0;0;2;1;0;0;0;0;1;2;1;2;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;3
"gene_78";0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gene_79";0;1;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0
"gene_80";0;0;1;0;2;0;0;2;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;2;2;1
"gene_81";0;1;1;0;7;0;1;8;0;1;0;0;1;1;0;0;3;0;2;1;0;4;0;1;0;0;0;0;0;3;0;1;1;0;1;5;0;2;0;0;0;0;0;1;0;0;1;1
"gene_82";0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;2;0;0;0;3
"gene_83";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
"gene_84";0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0
"gene_85";0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0
"gene_86";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_87";0;0;3;0;0;0;1;1;0;0;0;0;2;0;0;1;0;0;1;0;2;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_88";1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0
"gene_89";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gene_90";0;1;0;0;2;0;0;2;0;0;0;0;1;0;0;4;0;2;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;2;0;0;1;7;0;0;0;0
"gene_91";0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
"gene_92";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1
"gene_93";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;5;0;0;0;0
"gene_94";0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_95";0;0;0;1;3;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
"gene_96";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_97";1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;14;0;1;1;2;1;0;0;0;0;0;2;0;0;0;0;1;1;1;4;0;0;0;1;0;0;0;3;0;0;0;1
"gene_98";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_99";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_100";0;0;2;0;2;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;2;0;1;0;2;1;0;0
"gene_101";0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;3;0;0;0;4
"gene_102";0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;4
"gene_103";0;0;0;0;2;0;4;1;0;3;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0
"gene_104";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"gene_105";2;2;1;1;0;0;1;2;0;0;0;0;0;1;0;5;0;1;2;7;3;0;1;0;0;0;0;4;0;1;0;0;2;0;1;3;3;1;0;0;2;0;0;1;0;0;0;0
"gene_106";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gene_107";14;21;9;6;16;1;2;12;2;15;13;0;10;3;7;1;8;1;1;13;19;42;3;2;5;4;2;9;2;12;2;8;9;2;8;16;1;5;7;5;21;2;2;9;9;2;19;7
"gene_108";0;0;1;0;0;1;0;0;8;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4
"gene_109";0;0;0;0;1;0;2;0;0;1;1;0;1;0;0;0;0;0;1;0;0;2;3;1;0;1;0;3;1;1;0;2;1;0;0;0;0;1;0;1;5;0;0;1;0;1;0;3
"gene_110";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"gene_111";0;0;0;0;0;0;1;2;2;5;0;1;0;0;1;0;0;0;0;0;2;1;0;1;0;1;0;0;1;2;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0
"gene_112";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2
"gene_113";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"gene_114";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;6;0;0;1;1;0
"gene_115";0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;3;1;0;0;0
"gene_116";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1
"gene_117";1;0;2;2;4;0;2;5;2;3;1;4;3;2;0;2;2;0;2;0;3;3;5;4;0;0;1;2;1;4;0;0;0;0;0;5;0;0;2;1;0;1;0;7;0;0;0;0
"gene_118";0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"gene_119";0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_120";0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;5;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;6;0
"gene_121";0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_122";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0
"gene_123";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1
